Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
1405.05	6529	
1407.03	6356	
1409.01	6590	
1410.99	6539	
1412.96	6522	
1414.94	6549	
1416.92	6577	
1418.89	6675	
1420.87	6757	
1422.84	6727	
1424.81	6588	
1426.79	6727	
1428.76	6710	
1430.73	6928	
1432.7	6831	
1434.66	6864	
1436.63	6970	
1438.6	7123	
1440.57	6941	
1442.53	6795	
1444.49	7117	
1446.46	7205	
1448.42	7178	
1450.38	7205	
1452.34	7382	
1454.3	7298	
1456.26	7332	
1458.21	7391	
1460.17	7332	
1462.13	7603	
1464.08	7760	
1466.04	7498	
1467.99	7757	
1469.94	7906	
1471.89	7917	
1473.85	8000	
1475.8	8030	
1477.74	7990	
1479.69	8088	
1481.64	8096	
1483.58	8549	
1485.53	8295	
1487.47	8636	
1489.42	8476	
1491.36	8727	
1493.3	8822	
1495.24	8747	
1497.18	9040	
1499.12	8877	
1501.06	9267	
1503	9096	
1504.94	9409	
1506.87	9475	
1508.81	9730	
1510.74	9494	
1512.67	10022	
1514.6	9905	
1516.54	9991	
1518.47	10122	
1520.4	10243	
1522.33	10478	
1524.25	10426	
1526.18	10625	
1528.11	10799	
1530.03	10762	
1531.96	11069	
1533.88	11308	
1535.8	11526	
1537.73	11569	
1539.65	11843	
1541.57	12063	
1543.49	12224	
1545.4	12302	
1547.32	12596	
1549.24	12714	
1551.15	12958	
1553.07	12755	
1554.98	13379	
1556.9	13601	
1558.81	13627	
1560.72	13730	
1562.63	14294	
1564.54	14585	
1566.45	14364	
1568.36	14876	
1570.26	15215	
1572.17	15558	
1574.08	15712	
1575.98	16179	
1577.88	16608	
1579.79	17090	
1581.69	17297	
1583.59	17381	
1585.49	17417	
1587.39	17447	
1589.29	17391	
1591.19	17848	
1593.08	17912	
1594.98	18549	
1596.87	18445	
1598.77	18925	
1600.66	19194	
1602.55	19669	
1604.45	19907	
1606.34	19936	
1608.23	20802	
1610.12	20888	
1612	21330	
1613.89	21700	
1615.78	22016	
1617.66	22498	
1619.55	22686	
1621.43	23476	
1623.32	23800	
1625.2	23825	
1627.08	24747	
1628.96	24978	
1630.84	25076	
1632.72	25855	
1634.6	26307	
1636.48	27040	
1638.35	26921	
1640.23	27607	
1642.1	28209	
1643.98	29140	
1645.85	29582	
1647.72	30092	
1649.59	30541	
1651.46	30921	
1653.33	31778	
1655.2	32016	
1657.07	32532	
1658.94	32966	
1660.8	33842	
1662.67	34082	
1664.53	34954	
1666.4	35503	
1668.26	35887	
1670.12	36668	
1671.98	36863	
1673.84	37542	
1675.7	38283	
1677.56	38814	
1679.42	39496	
1681.28	39994	
1683.13	40813	
1684.99	40865	
1686.84	41505	
1688.7	42801	
1690.55	43515	
1692.4	43865	
1694.25	44154	
1696.1	44725	
1697.95	44953	
1699.8	45774	
1701.65	46318	
1703.49	46560	
1705.34	46912	
1707.19	47561	
1709.03	48141	
1710.87	48576	
1712.72	49228	
1714.56	49719	
1716.4	49847	
1718.24	50393	
1720.08	50666	
1721.92	51015	
1723.76	51489	
1725.6	51597	
1727.43	51823	
1729.27	51956	
1731.1	52254	
1732.94	51970	
1734.77	52345	
1736.6	52816	
1738.43	52884	
1740.26	52902	
1742.09	52975	
1743.92	53311	
1745.75	52090	
1747.57	52513	
1749.4	52525	
1751.23	52398	
1753.05	52757	
1754.88	52504	
1756.7	52105	
1758.52	52123	
1760.34	51839	
1762.16	52010	
1763.98	51244	
1765.8	51063	
1767.62	50638	
1769.43	50249	
1771.25	49831	
1773.07	50035	
1774.88	49531	
1776.7	48672	
1778.51	48722	
1780.32	47763	
1782.13	47311	
1783.95	47301	
1785.75	46120	
1787.56	45554	
1789.37	44958	
1791.18	44562	
1792.98	44632	
1794.79	43903	
1796.6	43395	
1798.4	42876	
1800.2	42695	
1802.01	41173	
1803.81	41415	
1805.61	40584	
1807.41	40068	
1809.21	39731	
1811	39102	
1812.8	38117	
1814.6	37832	
1816.4	37009	
1818.19	36389	
1819.99	36094	
1821.78	35287	
1823.57	34813	
1825.36	34459	
1827.15	33777	
1828.94	33195	
1830.73	32456	
1832.52	32534	
1834.31	31963	
1836.1	31371	
1837.88	30814	
1839.67	30218	
1841.45	29672	
1843.24	29447	
1845.02	29415	
1846.8	28795	
1848.58	28280	
1850.36	27870	
1852.14	27437	
1853.92	27021	
1855.7	26379	
1857.48	25990	
1859.25	26228	
1861.03	25308	
1862.8	25086	
1864.58	24561	
1866.35	24450	
1868.12	24286	
1869.9	24131	
1871.67	23909	
1873.44	23382	
1875.21	23161	
1876.98	22470	
1878.74	22631	
1880.51	22373	
1882.28	21653	
1884.04	21673	
1885.81	21543	
1887.57	21243	
1889.33	20645	
1891.09	20726	
1892.85	20347	
1894.62	20291	
1896.38	20281	
1898.13	19901	
1899.89	19613	
1901.65	19378	
1903.41	19247	
1905.16	19132	
1906.92	18836	
1908.67	18578	
1910.42	18553	
1912.18	18246	
1913.93	18326	
1915.68	18075	
1917.43	17457	
1919.18	17672	
1920.93	17621	
1922.67	17508	
1924.42	17214	
1926.17	17154	
1927.91	16994	
1929.66	16905	
1931.4	16812	
1933.14	16548	
1934.88	16645	
1936.63	16252	
1938.37	16420	
1940.11	16339	
1941.85	15950	
1943.58	15939	
1945.32	16102	
1947.06	15904	
1948.79	15705	
1950.53	15568	
1952.26	15548	
1954	15456	
1955.73	15271	
1957.46	15180	
1959.19	15124	
1960.92	15163	
1962.65	15070	
1964.38	14791	
1966.11	14618	
1967.84	14745	
1969.56	14402	
1971.29	14484	
1973.01	14136	
1974.74	14214	
1976.46	14140	
1978.18	13932	
1979.91	13746	
1981.62	13891	
1983.35	13779	
1985.06	13829	
1986.78	13590	
1988.5	13360	
1990.22	13503	
1991.94	13215	
1993.65	13411	
1995.36	13270	
1997.08	13048	
1998.79	12946	
2000.5	12662	
2002.22	12791	
2003.92	12415	
2005.64	12643	
2007.34	12651	
2009.05	12316	
2010.76	12581	
2012.47	12450	
2014.17	12076	
2015.88	12238	
2017.58	12084	
