Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
1727.43	323	
1729.27	319	
1731.1	289	
1732.94	282	
1734.77	294	
1736.6	261	
1738.43	272	
1740.26	272	
1742.09	291	
1743.92	301	
1745.75	313	
1747.57	294	
1749.4	279	
1751.23	276	
1753.05	295	
1754.88	290	
1756.7	311	
1758.52	311	
1760.34	309	
1762.16	313	
1763.98	317	
1765.8	297	
1767.62	282	
1769.43	268	
1771.25	279	
1773.07	282	
1774.88	280	
1776.7	266	
1778.51	263	
1780.32	262	
1782.13	268	
1783.95	266	
1785.75	284	
1787.56	298	
1789.37	318	
1791.18	349	
1792.98	365	
1794.79	375	
1796.6	368	
1798.4	360	
1800.2	358	
1802.01	327	
1803.81	309	
1805.61	271	
1807.41	263	
1809.21	271	
1811	269	
1812.8	275	
1814.6	279	
1816.4	288	
1818.19	321	
1819.99	315	
1821.78	322	
1823.57	297	
1825.36	305	
1827.15	310	
1828.94	303	
1830.73	311	
1832.52	307	
1834.31	292	
1836.1	313	
1837.88	311	
1839.67	312	
1841.45	299	
1843.24	307	
1845.02	305	
1846.8	299	
1848.58	312	
1850.36	296	
1852.14	283	
1853.92	277	
1855.7	282	
1857.48	282	
1859.25	294	
1861.03	302	
1862.8	304	
1864.58	313	
1866.35	320	
1868.12	316	
1869.9	295	
1871.67	286	
1873.44	284	
1875.21	266	
1876.98	261	
1878.74	262	
1880.51	266	
1882.28	266	
1884.04	264	
1885.81	269	
1887.57	252	
1889.33	260	
1891.09	273	
1892.85	273	
1894.62	283	
1896.38	296	
1898.13	299	
1899.89	291	
1901.65	291	
1903.41	279	
1905.16	254	
1906.92	254	
1908.67	259	
1910.42	269	
1912.18	280	
1913.93	288	
1915.68	297	
1917.43	314	
1919.18	316	
1920.93	306	
1922.67	278	
1924.42	266	
1926.17	259	
1927.91	258	
1929.66	252	
1931.4	251	
1933.14	261	
1934.88	285	
1936.63	289	
1938.37	287	
1940.11	271	
1941.85	275	
1943.58	280	
1945.32	273	
1947.06	261	
1948.79	254	
1950.53	254	
1952.26	263	
1954	272	
1955.73	270	
1957.46	273	
1959.19	277	
1960.92	277	
1962.65	266	
1964.38	268	
1966.11	260	
1967.84	255	
1969.56	261	
1971.29	265	
1973.01	264	
1974.74	277	
1976.46	284	
1978.18	289	
1979.91	293	
1981.62	298	
1983.35	294	
1985.06	294	
1986.78	276	
1988.5	256	
1990.22	241	
1991.94	235	
1993.65	228	
1995.36	231	
