Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
1458.21	7486	
1460.17	7523	
1462.13	7571	
1464.08	7455	
1466.04	7546	
1467.99	7866	
1469.94	7758	
1471.89	7937	
1473.85	7915	
1475.8	8044	
1477.74	8062	
1479.69	8170	
1481.64	8332	
1483.58	8201	
1485.53	8417	
1487.47	8710	
1489.42	8696	
1491.36	8863	
1493.3	8686	
1495.24	8816	
1497.18	8940	
1499.12	9119	
1501.06	9216	
1503	9156	
1504.94	9403	
1506.87	9597	
1508.81	9585	
1510.74	9749	
1512.67	9609	
1514.6	9991	
1516.54	9829	
1518.47	10216	
1520.4	10413	
1522.33	10619	
1524.25	10866	
1526.18	10709	
1528.11	11101	
1530.03	10952	
1531.96	11307	
1533.88	11306	
1535.8	11434	
1537.73	11750	
1539.65	11991	
1541.57	11927	
1543.49	12298	
1545.4	12334	
1547.32	12634	
1549.24	12655	
1551.15	13029	
1553.07	12934	
1554.98	13114	
1556.9	13482	
1558.81	13270	
1560.72	13891	
1562.63	13854	
1564.54	14218	
1566.45	14460	
1568.36	14878	
1570.26	15064	
1572.17	15100	
1574.08	15968	
1575.98	16231	
1577.88	16436	
1579.79	17037	
1581.69	17233	
1583.59	17217	
1585.49	17226	
1587.39	17375	
1589.29	17471	
1591.19	17481	
1593.08	18157	
1594.98	18526	
1596.87	18243	
1598.77	18723	
1600.66	19394	
1602.55	19739	
1604.45	19686	
1606.34	20118	
1608.23	20521	
1610.12	20802	
1612	20960	
1613.89	21746	
1615.78	22376	
1617.66	22373	
1619.55	22622	
1621.43	23319	
1623.32	23348	
1625.2	23917	
1627.08	24389	
1628.96	24858	
1630.84	25410	
1632.72	25789	
1634.6	25922	
1636.48	26901	
1638.35	27210	
1640.23	27362	
1642.1	27774	
1643.98	28754	
1645.85	29347	
1647.72	29794	
1649.59	30376	
1651.46	30982	
1653.33	31440	
1655.2	32017	
1657.07	32596	
1658.94	33325	
1660.8	33782	
1662.67	34497	
1664.53	34823	
1666.4	35059	
1668.26	35660	
1670.12	36588	
1671.98	36883	
1673.84	37708	
1675.7	38370	
1677.56	38935	
1679.42	39455	
1681.28	39570	
1683.13	40913	
1684.99	41150	
1686.84	41905	
1688.7	42614	
1690.55	43400	
1692.4	43665	
1694.25	43760	
1696.1	44211	
1697.95	45620	
1699.8	45531	
1701.65	46023	
1703.49	46609	
1705.34	47262	
1707.19	47577	
1709.03	47875	
1710.87	48203	
1712.72	49142	
1714.56	49506	
1716.4	49816	
1718.24	50272	
1720.08	50623	
1721.92	50886	
1723.76	51238	
1725.6	51365	
1727.43	51449	
1729.27	51661	
1731.1	52740	
1732.94	52446	
1734.77	52612	
1736.6	52669	
1738.43	52387	
1740.26	52917	
1742.09	52760	
1743.92	52819	
1745.75	52365	
1747.57	52676	
1749.4	52714	
1751.23	52329	
1753.05	52717	
1754.88	52405	
1756.7	52371	
1758.52	51792	
1760.34	51957	
1762.16	51612	
1763.98	51224	
1765.8	50796	
1767.62	50561	
1769.43	49975	
1771.25	49853	
1773.07	50117	
1774.88	48891	
