Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
1276	131	
1278.04	131	
1280.08	133	
1282.11	133	
1284.15	133	
1286.18	135	
1288.22	136	
1290.25	134	
1292.28	135	
1294.31	138	
1296.34	142	
1298.37	144	
1300.4	150	
1302.43	152	
1304.45	153	
1306.48	154	
1308.5	158	
1310.53	162	
1312.55	164	
1314.57	165	
1316.6	164	
1318.62	168	
1320.64	174	
1322.65	178	
1324.67	181	
1326.69	186	
1328.7	190	
1330.72	192	
1332.73	199	
1334.75	202	
1336.76	205	
1338.77	204	
1340.78	207	
1342.79	204	
1344.79	206	
1346.8	204	
1348.81	203	
1350.82	199	
1352.82	193	
1354.82	186	
1356.83	181	
1358.83	178	
1360.83	177	
1362.83	173	
1364.83	167	
1366.83	163	
1368.83	159	
1370.83	155	
1372.82	152	
1374.81	148	
1376.81	146	
1378.8	143	
1380.8	142	
1382.79	140	
1384.78	141	
1386.77	137	
1388.76	136	
1390.74	135	
1392.73	134	
1394.72	137	
1396.7	140	
1398.69	140	
1400.67	143	
1402.65	143	
1404.63	142	
1406.61	140	
1408.59	143	
1410.57	143	
1412.55	142	
1414.53	140	
1416.5	138	
1418.48	136	
1420.45	136	
1422.43	134	
1424.4	131	
1426.37	131	
1428.34	131	
1430.31	131	
1432.28	135	
1434.25	138	
1436.22	138	
1438.18	139	
1440.15	142	
1442.12	142	
1444.08	142	
1446.04	144	
1448	147	
1449.96	146	
1451.93	145	
1453.88	141	
1455.84	141	
1457.8	143	
1459.76	143	
1461.71	141	
1463.67	142	
1465.62	145	
1467.58	147	
1469.53	151	
1471.48	155	
1473.43	158	
1475.38	158	
1477.33	158	
1479.28	159	
1481.22	160	
1483.17	164	
1485.12	164	
1487.06	166	
1489	166	
1490.95	164	
1492.89	164	
1494.83	167	
1496.77	167	
1498.71	165	
1500.65	165	
1502.58	167	
1504.52	169	
1506.46	171	
1508.39	175	
1510.33	178	
1512.26	181	
1514.19	181	
1516.12	184	
1518.05	193	
1519.98	199	
1521.91	206	
1523.84	213	
1525.77	223	
1527.69	232	
1529.62	242	
1531.54	255	
1533.47	268	
1535.39	285	
1537.31	301	
1539.23	327	
1541.15	359	
1543.07	401	
1544.99	455	
1546.91	527	
1548.82	613	
1550.74	712	
1552.65	824	
1554.57	936	
1556.48	1045	
1558.39	1143	
1560.31	1229	
1562.21	1293	
1564.12	1330	
1566.03	1341	
1567.94	1324	
1569.85	1283	
1571.76	1215	
1573.66	1128	
1575.57	1021	
1577.47	910	
1579.37	795	
1581.27	687	
1583.18	588	
1585.08	506	
1586.98	441	
1588.87	390	
1590.77	355	
1592.67	326	
1594.57	307	
1596.46	295	
1598.35	287	
1600.25	280	
1602.14	272	
1604.03	266	
1605.92	259	
1607.81	250	
1609.7	241	
1611.59	231	
1613.48	221	
1615.36	211	
1617.25	203	
1619.13	194	
1621.02	187	
1622.9	180	
1624.79	176	
1626.67	171	
1628.55	168	
1630.43	165	
1632.31	162	
1634.18	162	
1636.06	160	
1637.94	158	
1639.81	156	
1641.69	155	
1643.56	151	
1645.44	150	
1647.31	149	
1649.18	145	
1651.05	144	
1652.92	144	
1654.79	144	
1656.66	142	
1658.52	143	
1660.39	141	
1662.26	140	
1664.12	137	
1665.98	137	
1667.84	135	
1669.71	136	
1671.57	138	
1673.43	137	
1675.29	135	
1677.15	137	
1679.01	136	
1680.86	134	
1682.72	134	
1684.58	133	
1686.43	132	
1688.28	133	
1690.14	134	
1691.99	131	
1693.84	131	
1695.69	130	
1697.54	127	
1699.39	127	
1701.24	126	
1703.08	129	
1704.93	130	
1706.77	131	
1708.62	133	
1710.46	132	
1712.31	132	
1714.15	132	
1715.99	132	
1717.83	130	
1719.67	133	
1721.51	134	
1723.34	134	
1725.18	135	
1727.02	134	
1728.85	131	
1730.69	131	
1732.52	131	
1734.35	130	
1736.18	133	
1738.02	133	
1739.85	133	
1741.68	131	
1743.51	130	
1745.33	128	
1747.16	126	
1748.99	126	
1750.81	125	
1752.64	125	
1754.46	124	
1756.28	123	
1758.11	123	
1759.93	121	
1761.75	121	
1763.57	119	
1765.39	121	
1767.21	121	
1769.02	120	
1770.84	118	
1772.65	117	
1774.47	115	
1776.28	115	
1778.1	114	
1779.91	117	
1781.72	117	
1783.53	116	
1785.34	118	
1787.15	119	
1788.96	120	
1790.76	120	
1792.57	121	
1794.38	123	
1796.18	124	
1797.98	124	
1799.79	122	
1801.59	121	
1803.39	120	
1805.19	118	
1806.99	115	
1808.79	116	
1810.59	118	
1812.39	120	
1814.19	118	
1815.98	120	
1817.78	119	
1819.57	118	
1821.36	122	
1823.16	123	
1824.95	123	
1826.74	123	
1828.53	123	
1830.32	122	
1832.11	121	
1833.9	118	
1835.68	118	
1837.47	117	
1839.26	116	
1841.04	118	
1842.82	120	
1844.61	120	
1846.39	120	
1848.17	119	
1849.95	118	
1851.73	119	
1853.51	118	
1855.29	118	
1857.06	117	
1858.84	117	
1860.62	119	
1862.39	121	
1864.17	122	
1865.94	123	
1867.71	124	
1869.48	127	
1871.25	131	
1873.02	132	
1874.79	135	
1876.56	139	
1878.33	138	
1880.1	137	
1881.86	138	
1883.63	135	
1885.39	134	
1887.16	130	
1888.92	126	
1890.68	122	
1892.44	119	
1894.2	116	
1895.96	115	
1897.72	114	
1899.48	112	
1901.23	113	
1902.99	116	
1904.75	119	
1906.5	121	
1908.26	122	
1910.01	124	
1911.76	125	
1913.51	126	
1915.26	128	
1917.01	129	
1918.76	127	
1920.51	126	
1922.26	126	
1924.01	124	
1925.75	122	
1927.5	119	
1929.24	118	
1930.99	118	
1932.73	116	
1934.47	116	
1936.21	116	
1937.95	114	
1939.69	114	
1941.43	114	
1943.17	114	
1944.91	115	
1946.64	116	
1948.38	115	
1950.11	114	
1951.85	114	
1953.58	113	
1955.32	113	
1957.05	114	
1958.78	114	
1960.51	115	
1962.24	115	
1963.97	116	
1965.69	117	
1967.42	117	
1969.15	119	
1970.88	120	
1972.6	118	
1974.32	119	
1976.04	121	
1977.77	121	
1979.49	122	
1981.21	120	
1982.93	118	
1984.65	118	
1986.37	117	
1988.08	117	
1989.8	117	
1991.52	117	
1993.23	116	
1994.95	118	
1996.66	117	
1998.38	121	
2000.09	121	
2001.8	123	
2003.51	123	
2005.22	123	
2006.93	121	
2008.64	123	
2010.35	123	
2012.05	122	
2013.76	119	
2015.46	117	
2017.17	116	
2018.87	115	
2020.58	114	
2022.28	113	
2023.98	113	
2025.68	112	
2027.38	111	
2029.08	113	
2030.78	114	
2032.47	117	
2034.17	116	
2035.87	118	
2037.56	119	
2039.26	119	
2040.95	120	
2042.64	119	
2044.34	118	
2046.03	116	
2047.72	114	
2049.41	115	
2051.1	115	
2052.78	112	
2054.47	110	
2056.16	109	
2057.84	111	
2059.53	112	
2061.21	111	
2062.9	112	
2064.58	113	
2066.26	115	
2067.94	114	
2069.62	112	
2071.3	110	
2072.98	108	
2074.66	109	
2076.34	107	
2078.01	104	
2079.69	103	
2081.37	105	
2083.04	105	
2084.71	104	
2086.39	100	
2088.06	104	
2089.73	105	
2091.4	105	
2093.07	106	
2094.74	105	
2096.41	109	
2098.08	111	
2099.74	112	
2101.41	109	
2103.07	108	
2104.74	109	
2106.4	111	
2108.06	112	
2109.73	113	
2111.39	114	
2113.05	118	
2114.71	118	
2116.37	118	
2118.03	117	
2119.68	116	
2121.34	118	
2123	115	
2124.65	114	
2126.31	115	
2127.96	116	
2129.61	115	
2131.27	113	
2132.92	110	
2134.57	110	
2136.22	109	
2137.87	110	
2139.51	113	
2141.16	112	
2142.81	115	
2144.46	114	
2146.1	117	
2147.74	117	
2149.39	118	
2151.03	118	
2152.68	119	
2154.32	122	
2155.96	123	
2157.6	124	
2159.24	122	
2160.88	121	
2162.51	119	
2164.15	119	
2165.79	120	
2167.42	121	
2169.06	118	
2170.69	118	
2172.33	116	
2173.96	114	
2175.59	114	
2177.22	114	
2178.85	117	
2180.48	116	
2182.11	114	
2183.74	115	
2185.37	116	
2187	116	
2188.62	114	
2190.25	114	
2191.87	114	
2193.49	116	
2195.12	117	
2196.74	117	
2198.36	117	
2199.98	113	
2201.6	111	
2203.22	110	
2204.84	107	
2206.46	108	
2208.07	107	
2209.69	109	
2211.31	108	
2212.92	107	
2214.53	109	
2216.15	110	
2217.76	109	
2219.37	109	
2220.98	109	
2222.59	113	
2224.2	113	
2225.81	114	
2227.42	116	
2229.03	114	
2230.64	115	
2232.24	115	
2233.85	114	
2235.45	115	
2237.06	113	
2238.66	113	
2240.26	113	
2241.86	113	
2243.46	113	
2245.06	113	
2246.66	115	
2248.26	115	
2249.86	114	
2251.45	116	
2253.05	115	
2254.65	117	
2256.24	118	
2257.83	118	
2259.43	118	
2261.02	118	
2262.61	119	
2264.21	118	
2265.79	114	
2267.39	111	
2268.97	109	
2270.56	109	
2272.15	111	
2273.74	110	
2275.32	113	
2276.91	114	
2278.49	115	
2280.08	115	
2281.66	114	
2283.24	114	
2284.82	112	
2286.4	112	
2287.98	110	
2289.56	107	
2291.14	109	
2292.72	110	
2294.3	110	
2295.88	109	
2297.45	104	
2299.02	106	
2300.6	109	
2302.17	110	
2303.75	112	
2305.32	115	
2306.89	114	
2308.46	113	
2310.03	112	
2311.6	111	
2313.17	108	
2314.74	107	
2316.3	109	
2317.87	109	
2319.44	110	
2321	113	
2322.56	117	
2324.13	121	
2325.69	124	
2327.25	126	
2328.81	129	
2330.38	132	
2331.94	133	
2333.49	131	
2335.05	133	
2336.61	130	
2338.17	124	
2339.72	122	
2341.28	119	
2342.83	116	
2344.39	113	
2345.94	110	
2347.49	109	
2349.05	105	
2350.6	104	
2352.15	104	
2353.7	107	
2355.25	108	
2356.79	109	
2358.34	111	
2359.89	112	
2361.44	111	
2362.98	113	
2364.53	112	
2366.07	113	
2367.61	111	
2369.16	112	
2370.7	114	
2372.24	114	
2373.78	115	
2375.32	117	
2376.86	117	
