17/8/2023
5:01 pm
Raman shift	Intensity
cm-1	Counts
1133.102395	0.000000
1135.203988	0.000000
1137.306984	0.000000
1139.409479	0.000000
1141.505767	0.000000
1143.607263	0.000000
1145.704456	0.000000
1147.801150	0.000000
1149.897346	0.000000
1151.993045	0.000000
1154.088245	0.000000
1156.181050	0.000000
1158.275256	0.000000
1160.363271	0.000000
1162.456484	0.000000
1164.543509	0.000000
1166.633833	0.000000
1168.719870	0.000000
1170.809204	0.000000
1172.892357	0.000000
1174.976912	0.000000
1177.062869	0.000000
1179.144544	0.000000
1181.227621	0.000000
1183.308312	0.000000
1185.388511	0.000000
1187.468219	0.000000
1189.547436	0.000000
1191.624271	0.000000
1193.698725	0.000000
1195.776470	0.000000
1197.849946	0.000000
1199.924822	0.000000
1201.995431	0.000000
1204.067442	0.000000
1206.137076	0.000000
1208.208111	0.000000
1210.278658	0.000000
1212.344944	0.000000
1214.412631	18.458522
1216.477946	43.437871
1218.544661	67.868002
1220.607120	87.125134
1222.672864	114.263680
1224.734355	138.233182
1226.797245	159.445440
1228.857768	180.003897
1230.917807	202.411857
1232.977364	227.617446
1235.034555	247.189476
1237.091265	269.097776
1239.145612	302.281089
1241.203239	330.663565
1243.258504	362.862626
1245.309528	375.980984
1247.361952	401.276178
1249.413896	432.963305
1251.463482	463.078733
1253.512589	485.882612
1255.561218	516.199136
1257.609368	550.340039
1259.657039	594.124907
1261.700481	634.696784
1263.747197	682.296784
1265.791560	723.170136
1267.835447	772.438536
1269.876982	825.750341
1271.916168	901.608790
1273.958627	970.042947
1275.996863	1063.951699
1278.036498	1171.954368
1280.075658	1309.534641
1282.110599	1456.807928
1284.146939	1626.249082
1286.180935	1806.135604
1288.216329	2026.145336
1290.247509	2256.031932
1292.280088	2512.231015
1294.312194	2773.169791
1296.341960	3020.386463
1298.373124	3182.577546
1300.400080	3215.695327
1302.428434	3537.185082
1304.452584	4854.565548
1306.479998	7008.456317
1308.503210	9868.042159
1310.527820	13282.215057
1312.550096	17119.494391
1314.573769	21226.833934
1316.595109	25489.727280
1318.615981	29757.911267
1320.636386	33916.683711
1322.652598	39030.600853
1324.670207	43636.298807
1326.685488	47186.875073
1328.704028	49421.876257
1330.718379	50215.490634
1332.730404	49550.568268
1334.745686	47477.634786
1336.756783	44106.956685
1338.769277	39680.678532
1340.777588	34668.498145
1342.789155	29758.588639
1344.794682	25226.472385
1346.803465	20700.772320
1348.808070	16315.217337
1350.815929	12212.733675
1352.823326	8532.333652
1354.824692	5416.530017
1356.827455	3034.202382
1358.829757	1518.546541
1360.831600	1033.508911
1362.832983	1715.678428
1364.832053	1791.762071
1366.830664	1721.897066
1368.828817	1602.221400
1370.826511	1462.105802
1372.820043	1332.741433
1374.814971	1229.366100
1376.809441	1123.422365
1378.803456	1032.688710
1380.795162	942.275886
1382.786414	854.288218
1384.775360	782.335299
1386.765701	728.750489
1388.755587	680.605472
1390.743170	633.512560
1392.730298	585.616429
1394.715125	557.496691
1396.701347	539.899251
1398.685269	527.466803
1400.668738	526.348670
1402.651755	512.008071
