Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
2815.4	144	
2816.73	144	
2818.06	144	
2819.39	143	
2820.72	143	
2822.05	142	
2823.38	142	
2824.7	137	
2826.03	137	
2827.36	136	
2828.68	137	
2830	135	
2831.33	137	
2832.65	138	
2833.98	138	
2835.3	135	
2836.62	136	
2837.94	136	
2839.26	134	
2840.58	135	
2841.9	132	
2843.22	133	
2844.53	132	
2845.85	131	
2847.17	131	
2848.48	129	
2849.8	127	
2851.11	127	
2852.42	128	
2853.74	128	
2855.05	130	
2856.36	130	
2857.67	132	
2858.98	131	
2860.29	133	
2861.6	132	
2862.91	134	
2864.22	133	
2865.53	134	
2866.83	134	
2868.14	133	
2869.44	134	
2870.75	133	
2872.05	131	
2873.36	131	
2874.66	129	
2875.96	130	
2877.26	129	
2878.56	128	
2879.86	128	
2881.16	128	
2882.46	128	
2883.76	127	
2885.06	125	
2886.35	125	
2887.65	124	
2888.95	123	
2890.24	122	
2891.54	123	
2892.83	123	
2894.13	124	
2895.42	124	
2896.71	124	
2898	124	
2899.29	126	
2900.58	127	
2901.87	129	
2903.16	128	
2904.45	130	
2905.74	133	
2907.02	133	
2908.31	130	
2909.6	132	
2910.88	130	
2912.17	132	
2913.45	131	
2914.73	132	
2916.01	130	
2917.3	131	
2918.58	129	
2919.86	126	
2921.14	125	
2922.42	122	
2923.7	121	
2924.98	122	
2926.25	121	
2927.53	120	
2928.81	118	
2930.08	117	
2931.36	117	
2932.63	113	
2933.91	111	
2935.18	112	
2936.45	111	
2937.72	115	
2938.99	115	
2940.27	117	
2941.54	115	
2942.81	117	
2944.08	113	
2945.34	115	
2946.61	116	
2947.88	118	
2949.14	122	
2950.41	124	
2951.67	125	
2952.94	124	
2954.2	125	
2955.47	126	
2956.73	124	
2957.99	123	
2959.25	122	
2960.51	121	
2961.77	119	
2963.03	119	
2964.29	117	
2965.55	117	
2966.81	115	
2968.06	115	
2969.32	115	
2970.58	117	
2971.83	118	
2973.09	121	
2974.34	124	
2975.59	125	
2976.85	126	
2978.1	126	
2979.35	129	
2980.6	129	
2981.85	128	
2983.1	130	
2984.35	127	
2985.6	127	
2986.85	123	
2988.09	123	
2989.34	124	
2990.58	126	
2991.83	124	
2993.07	125	
2994.32	123	
2995.56	122	
2996.81	121	
2998.05	119	
2999.29	120	
3000.53	119	
3001.77	119	
3003.01	121	
3004.25	120	
3005.49	122	
3006.73	123	
3007.96	124	
3009.2	123	
3010.44	125	
3011.67	124	
3012.91	126	
3014.14	126	
3015.38	129	
3016.61	130	
3017.84	130	
3019.07	128	
3020.3	128	
3021.53	126	
3022.76	126	
3023.99	127	
3025.22	128	
3026.45	126	
3027.68	124	
3028.91	122	
3030.13	123	
3031.36	121	
3032.58	122	
3033.81	121	
3035.03	123	
3036.25	120	
3037.47	119	
3038.7	118	
3039.92	122	
3041.14	120	
3042.36	120	
3043.58	120	
3044.8	121	
3046.02	121	
3047.23	121	
3048.45	119	
3049.67	120	
3050.88	118	
3052.1	117	
3053.31	114	
3054.53	114	
3055.74	113	
3056.95	113	
3058.16	112	
3059.38	112	
3060.59	110	
3061.8	109	
3063.01	109	
3064.22	111	
3065.43	111	
3066.63	112	
3067.84	113	
3069.05	115	
3070.25	115	
3071.46	115	
3072.67	116	
3073.87	121	
3075.07	120	
3076.28	119	
3077.48	117	
3078.68	116	
3079.88	117	
3081.08	116	
3082.28	116	
3083.48	116	
3084.68	115	
3085.88	115	
3087.08	114	
3088.28	116	
3089.47	115	
3090.67	114	
3091.86	115	
3093.06	116	
3094.25	115	
3095.45	117	
3096.64	121	
3097.83	120	
3099.02	116	
3100.21	117	
3101.41	116	
3102.6	116	
3103.78	115	
3104.97	114	
3106.16	114	
3107.35	114	
3108.53	114	
3109.72	113	
3110.91	113	
3112.09	114	
3113.28	115	
3114.46	114	
3115.65	115	
3116.83	114	
3118.01	113	
3119.19	112	
3120.37	109	
3121.55	104	
3122.73	103	
3123.91	104	
3125.09	101	
3126.27	102	
3127.45	98	
3128.62	99	
3129.8	98	
3130.98	100	
3132.15	100	
3133.32	101	
3134.5	102	
3135.67	103	
3136.84	104	
3138.01	105	
3139.19	103	
3140.36	102	
3141.53	102	
3142.7	103	
3143.87	100	
